	Sex-specific	IEGs	retro-virus-induced	noise-sensitive
265				Mien1
266				Ndufa8
267				St13
268				Prdx5
269				Cirbp
270				Spin1
271				Srp9
272				Pura
273				Pea15a
274				Hspa8
275				Npm1
276				Tomm7
277				Hsbp1
278				Hsph1
279				Clta
280				Arpc5l
281				Vti1b
282				Fam103a1
283				Ctxn2
284				Chchd4
285				Cfap46
286				Rpl36-ps3
287				Rpl21
288				Glrx5
289				Ppp1cb
290				Pin1
291				Coprs
292				Nsf
293				Rpl23a-ps3
294				Mrps21
295				Cltc
296				Timm13
297				G3bp2
298				Hspe1
299				Acadl
300				1500009L16Rik
301				Hnrnpk
302				Higd2a
303				Zmat2
304				Sqstm1
305				Snap25
306				Lamtor5
307				Dnaja1
308				Mrpl54
309				Ube2m
310				Sumf1
311				Serbp1
312				Polr1d
313				Cited2
314				Rrm2b
315				Scand1
316				Plekhb2
317				Tprgl
318				Calb2
319				Hpca
320				Rps7
321				Ralbp1
322				Wdr89
323				Cox7c
324				Celf4
325				Rheb
326				Dcaf12l1
327				Ran
328				Wdr6
329				Atp5j2
330				Tusc2
331				Hcfc1r1
332				Gm10250
333				1700030F04Rik
334				Ankrd46
335				Ndufc1
336				Cnbp
337				Srp14
338				Ncald
339				Vat1l
340				Rnf7
341				1700037H04Rik
342				Atp6v1f
343				Sdhaf4
344				Map1b
345				Pkm
346				Mff
347				Fkbp3
348				Ube2ql1
349				Eif3f
350				Uqcr11
351				H3f3b
352				Mrpl30
353				Fabp5
354				Mrpl20
355				BC048546
356				Oaz2
357				Cend1
358				Elof1
359				Arih1
360				Hnrnpa0
361				Map2k1
362				Cmip
363				Naa38
364				Syn2
365				Ppp2r2c
366				Pfdn1
367				Rpl10a
368				Snap47
369				Hn1
370				Rnf208
371				Rpsa
372				Nucks1
373				Pithd1
374				Pdcd4
375				Pja1
376				Gsk3b
377				Stx1b
378				Dpcd
379				D8Ertd738e
380				1110004F10Rik
381				Polr2k
382				Syn1
383				Rplp1
384				Lonrf2
385				Atp5h
386				Gm10073
387				Rnd2
388				Dnajb6
389				Tubb2a
390				2310036O22Rik
391				Ppdpf
392				Efhd2
393				Stx7
394				Purb
395				Gtf2h5
396				Ppp2r1a
397				Ensa
398				Trmt112
399				Lsm6
400				Map7
401				Csde1
402				Capzb
403				Mrpl33
404				Lsm4
405				Atp6v1e1
406				Cbx5
407				Tagln3
408				Rtf1
409				Hnrnpab
410				Epm2aip1
411				Lamtor2
412				Mrps33
413				Sfr1
414				Gm14820
415				Cfl2
416				Aip
417				Ctla4
418				Eif1a
419				Yaf2
420				Sod1
421				Hpcal1
422				Brk1
423				Rangap1
424				Snrnp27
425				Ncl
426				Chmp5
427				Prkar2a
428				H1fx
429				Rab7
430				Sh3gl2
431				Dbpht2
432				Cfap77
433				Arpc5
434				Hmgcs1
435				Dnaja2
436				Arhgdia
437				Acot7
438				Mapk1
439				Pcnp
440				Vsnl1
441				Hpcal4
442				Deb1
443				Rgs2
444				Zcchc17
445				Tceb1
446				Txn1
447				Minos1
448				Dcaf7
449				Trappc9
450				H3f3a
451				Prr13
452				Rpl7a-ps5
453				Ap1s2
454				Ube2d2a
455				Atp6v1c1
456				A730017C20Rik
457				Fabp3
458				Hmgn1
459				Rgs4
460				2900011O08Rik
461				Dctn3
462				Mrpl18
463				Gm10053
464				Fam32a
465				Ypel5
466				Rad23b
467				Zfp428
468				Chp1
469				Lysmd2
470				Habp4
471				Tox2
472				Peg10
473				Dock8
474				Cox17
475				Hp1bp3
476				Timm10
477				Grcc10
478				Bod1
479				B230219D22Rik
480				Sf3b5
481				Ranbp1
482				Zfand5
483				Anapc11
484				Tppp
485				Hnrnpa3
486				Cacybp
487				Ttc33
488				Tmod2
489				Eef1b2
490				Nudc
491				Ube2n
492				Usp50
493				Wbp2
494				Bmyc
495				2700060E02Rik
496				Cript
497				Got1
498				Mapk8ip2
499				Ppm1a
500				2810428I15Rik
501				Cyfip2
502				1110065P20Rik
503				Uba52
504				Mdh2
505				Ube2d3
506				Ndufa5
507				Pfdn4
508				Vdac2
509				Myl6
510				Tceal1
511				Ccdc124
512				Eif1ax
513				Ak1
514				Anp32a
515				Gm10146
516				Ptp4a2
517				Actb
518				Trim32
519				Polr2j
520				Pcbp1
521				Cystm1
522				Ccdc92
523				B630019K06Rik
524				1700001L19Rik
525				Cltb
526				Gabarapl2
527				Ubqln1
528				Srsf3
529				Paip1
530				Nos1
531				Cdkn2d
532				Map4
533				Pcbd1
534				Ssx2ip
535				1500011K16Rik
536				1810037I17Rik
537				Pak1
538				Tsnax
539				Eif2s2
540				Pdha1
541				Dctn4
542				Irs4
543				Cab39
544				Aurkaip1
545				Akr1a1
546				Fam81a
547				Ube2l3
548				Gnao1
549				Spryd7
550				Bola3
551				Klhl9
552				Zrsr2
553				Bend6
554				Romo1
555				Srp19
556				Cggbp1
557				Psmb6
558				Micu3
559				Dlg4
560				Map1a
561				Lamtor1
562				Polr3k
563				Mapre2
564				Borcs7
565				Spryd3
566				Gm6563
567				Cfdp1
568				Fam104a
569				Sarnp
570				Ndufs6
571				Ndufb9
572				Tceal3
573				1810043H04Rik
574				Pkig
575				Ost4
576				2210016L21Rik
577				Rab11b
578				Fkbp8
579				Hnrnpul2
580				Gm11273
581				Txndc17
582				Gatad1
583				Chchd1
584				Mrpl12
585				Pafah1b1
586				Gmfb
587				Wtap
588				Pnma2
589				Cplx2
590				Prkcb
591				Bola2
592				Vcp
593				Bad
594				Zcchc12
595				Slco2a1
596				Fbxo9
597				Nedd4
598				Rab6b
599				Caprin1
600				Hmgn2
601				Rnf5
602				Atp5d
603				2010107E04Rik
604				Rps18
605				Mettl15
606				Dohh
607				Gm9844
608				Kcnk2
609				Tcp1
610				Fam195b
611				Zbtb7a
612				Mrpl27
613				Ncdn
614				Dnm1l
615				Zfp365
616				Eif5
617				Gas7
618				Mapt
619				Rps29
620				Mrps24
621				Nudt11
622				Gemin7
623				Irs2
624				Sept3
625				Tubb4b
626				Gmps
627				Rpl13a
628				Ctbp1
629				Nap1l2
630				Kctd13
631				Prrc2b
632				Rab39
633				Denr
634				Matr3
635				Stx12
636				Fdx1l
637				Bnip3l
638				Rsl24d1
639				Pafah1b2
640				Akirin2
641				Ctnnb1
642				Flywch2
643				Rnf220
644				3110043O21Rik
645				Ap2m1
646				Mzt1
647				Ncs1
648				Ppp2cb
649				Prkce
650				Znhit1
651				Cetn2
652				Bcas2
653				Zbtb20
654				Phlda3
655				Vapa
656				Pitpna
657				Ift22
658				Smap2
659				Ube2e3
660				Vapb
661				Enc1
662				Mlf2
663				Ubald1
664				Wdr1
665				Snrpd3
666				Ap2s1
667				Mrpl11
668				Synj1
669				Wbp11
670				Pgm2l1
671				Serf1
672				Cstb
673				Cdip1
674				Idh3a
675				Irf2bpl
676				Dnlz
677				Dda1
678				Fopnl
679				Snx10
680				BC029722
681				Ndufb10
682				Mrps36
683				Tceal6
684				Skint6
685				Tpt1
686				Zfhx3
687				Rpl22
688				Ythdf2
689				Grb2
690				BC005624
691				Dnm1
692				Dpy30
693				Wdr82
694				Ddx3y
695				Rap2a
696				Pak3
697				RP23-407N2.2
698				Naa50
699				Nudt3
700				Ppp1ca
701				Ndrg4
702				Khdrbs1
703				Uqcrfs1
704				Pgp
705				Eef2
706				Rps5
707				Gng13
708				Bex4
709				Sh3gl3
710				Rufy3
711				Smarca2
712				Ubl3
713				Vps29
714				Bhlhe41
715				Lmo4
716				Kifap3
717				Cited1
718				Terf2ip
719				Eno1
720				Polr2f
721				Hdgf
722				Nol7
723				Klc1
724				Alyref
725				Chtop
726				Nono
727				Elavl3
728				Dgcr6
729				Vat1
730				Rhob
731				Ssu72
732				Elavl4
733				Scrn1
734				Tln1
735				Hdgfrp3
736				Cep19
737				Eif4h
738				Cmpk1
739				Ddx3x
740				Prelid1
741				Eif4b
742				Terf2
743				Hnrnpc
744				Rap2b
745				Ogdh
746				2610301B20Rik
747				Rnf14
748				Bola1
749				Ogfrl1
750				Nup210l
751				Klf13
752				Fam217b
753				Taok3
754				Ttll7
755				Bag4
756				Sox2
757				1500009C09Rik
758				4833439L19Rik
759				Wsb2
760				2700029M09Rik
761				Kpna1
762				Hspa9
763				Gng4
764				Eef1e1
765				Ube2q1
766				Arhgef4
767				Plagl1
768				Ing1
769				Eif5b
770				Hspd1
771				Cyb5b
772				Dzank1
773				Stip1
774				Jph4
775				Lor
776				Fam84a
777				Amotl1
778				Ntan1
779				Nrsn1
780				Mypop
781				Chd3
782				Trim35
783				Tspyl5
784				Abhd8
785				Gadd45gip1
786				2610002M06Rik
787				Pdxk
788				Gm10320
789				Mtcl1
790				Banf1
791				Nudt19
792				Rbfox3
793				Cep170b
794				Gpbp1
795				Arl2
796				Akap11
797				Trappc6b
798				Clns1a
799				Med21
800				Sssca1
801				Anapc13
802				Tollip
803				H1f0
804				Kif21a
805				Polr2g
806				Ube2w
807				Rbx1
808				Tmem256
809				Rpl10
810				Mkrn1
811				Aamp
812				Tpd52
813				Use1
814				Ndrg3
815				Psmc1
816				Pdap1
817				Znhit3
818				Tpm1
819				Mrpl57
820				Coa6
821				C330006A16Rik
822				Alkbh5
823				Nap1l3
824				Mapk9
825				Rplp0
826				Sucla2
827				Pcif1
828				Gm10116
829				Tomm70a
830				Ddx6
831				Fam168b
832				Mrps14
833				Camta1
834				Sept7
835				Nap1l1
836				Fbxo2
837				Mmel1
838				Dnajb1
839				Snrnp25
840				Fem1b
841				Atp5o
842				Rtcb
843				Fam76a
844				Meaf6
845				Usp11
846				Stub1
847				Tsen34
848				Ube2j1
849				Tceal8
850				Atp5b
851				Cmas
852				Isca1
853				Cand1
854				Paip2
855				Phyhip
856				Ddx24
857				Klhl13
858				Zc3h15
859				Glp2r
860				Hspa4
861				Arhgef17
862				Chmp3
863				Grik3
864				Ankrd34b
865				Hspa12a
866				Nudt4
867				Lin7c
868				Fyttd1
869				Psma2
870				Egr1
871				A430005L14Rik
872				Spag7
873				Camk2b
874				Wasl
875				Pum2
876				Ube2r2
877				Ncoa7
878				Cplx1
879				Mrps16
880				Vbp1
881				Mrpl28
882				Glyr1
883				Cdv3
884				Fabp3-ps1
885				Otud6b
886				Eif3a
887				Agap3
888				Kpnb1
889				Trim44
890				Rpl15
891				Usp5
892				Zc2hc1a
893				Ndufb7
894				Aprt
895				Synrg
896				Pkia
897				Becn1
898				Zrsr1
899				Golph3
900				Uhmk1
901				Fbxo21
902				Arl3
903				Cdc26
904				Rnf41
905				Cotl1
906				Pnrc1
907				Smarcc2
908				Mapkap1
909				Fto
910				Akirin1
911				Mrpl52
912				Evl
913				Sdha
914				Rab12
915				Fam136a
916				D030056L22Rik
917				Arpc1a
918				Map9
919				Uqcrb
920				Llph
921				Sept8
922				Chmp2b
923				Abat
924				Mapk3
925				Taf11
926				Larp4b
927				6030419C18Rik
928				Hap1
929				Morf4l2
930				Spred1
931				Dusp3
932				Ccdc6
933				Snrpd1
934				Coa5
935				Jak1
936				Plcxd2
937				Mrpl34
938				Acot13
939				Fxyd2
940				Nudcd3
941				Btf3
942				Nap1l4
943				Mrps23
944				Slmo2
945				Limd2
946				Tpm3
947				Ppp1r21
948				Ube2e1
949				Hif1a
950				Sf3b6
951				Snrpf
952				Morn2
953				Atxn10
954				Mbd3
955				Ube2q2
956				Strap
957				Nhp2
958				Ppp1r9b
959				B230217C12Rik
960				Rrp7a
961				Gsk3a
962				Rab28
963				Asxl2
964				Nr2f2
965				Cdk5r1
966				Crk
967				Got2
968				1110059E24Rik
969				1110032A03Rik
970				N6amt2
971				Atmin
972				Nr2c2ap
973				Marf1
974				Hars
975				Arl6ip4
976				Pkib
977				Fgfr1op2
978				Pcbp2
979				Ap1s1
980				Kbtbd11
981				Rab11a
982				Hnrnph2
983				Srp72
984				Fam155a
985				Cox6a1
986				Nav3
987				Timp2
988				mt-Nd4
989				Meg3
990				Sgcz
991				Csmd1
992				Faim2
993				Gabbr1
994				Nrxn1
995				Car10
996				Gabrb3
997				Cpe
998				Grik2
999				Dlg2
